Student_ID,Course_Code,Assessment_Type,Mark,Assessment_Date,Academic_Year,Semester,Attendance_Rate,Attendance_Scaled,Grade,Full_Name,Gender,DOB,Program,Level,Intake_Year,Phone,Campus_ID,Campus_Name,Source_Campus_File,Upload_Date,Course_Title,Credits,assessment_month,assessment_weekday,is_weekend_assessment,student_course_count,student_avg_mark,student_max_mark,student_fail_count,student_total_credits_earned,is_at_risk,low_attendance_flag
MU011,CS102 ,Test,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Alice,Male,,ICT,Level6,2022,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,,,10.0,Monday,False,2,70.0,75.0,0,0.0,0,0
HU008,CS101,Assignment,60.0,,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Alice,Unknown,2000/01/01,ICT,Level6,2022,Not Provided,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0,,,False,1,60.0,60.0,0,6.0,0,1
HU008,CS101,Assignment,60.0,,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Alice,Unknown,2000/01/01,ICT,Level6,2022,Not Provided,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0,,,False,1,60.0,60.0,0,6.0,0,1
MU013,CS-101,Test,60.0,,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Diane,Male,2003-05-12,ENGINEERING,Level6,2020,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,,,,,False,1,52.5,60.0,1,0.0,0,1
KI033,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Charles,female,01-02-2001,BUSINESS,Level6,2022,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0,10.0,Monday,False,2,60.0,60.0,0,6.0,0,0
KI033,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Charles,female,01-02-2001,BUSINESS,Level6,2022,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0,10.0,Monday,False,2,60.0,60.0,0,6.0,0,0
HU042,CS101,Assignment,75.0,,2023/2024,Semester1,100.0,1.4997378301294622,Distinction,Charles,female,2000/01/01,BUSINESS,Level7,2021,Not Provided,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0,,,False,2,65.0,75.0,1,6.0,0,0
HU042,CS101,Assignment,75.0,,2023/2024,Semester1,100.0,1.4997378301294622,Distinction,Charles,female,2000/01/01,BUSINESS,Level7,2021,Not Provided,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0,,,False,2,65.0,75.0,1,6.0,0,0
MU001,CS-101,Assignment,60.0,,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Diane,Male,,ENGINEERING,Level7,2022,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,,,,,False,2,60.0,60.0,0,0.0,0,1
HU006,CS-101,Exam,75.0,2023-10-02,2023/2024,Semester1,80.0,0.5100580818622619,Distinction,Diane,Unknown,,ICT,Level7,2021,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,,,10.0,Monday,False,2,67.5,75.0,0,0.0,0,0
