Student_ID,Course_Code,Assessment_Type,Mark,Assessment_Date,Academic_Year,Semester,Attendance_Rate,Attendance_Scaled,Grade,Full_Name,Gender,DOB,Program,Level,Intake_Year,Phone,Campus_ID,Campus_Name,Source_Campus_File,Upload_Date,Course_Title,Credits
MU011,CS102 ,Test,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Alice,Male,Unknown,ICT,Level6,2022,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Unknown Course,0.0
KI033,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Charles,female,01-02-2001,BUSINESS,Level6,2022,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
KI033,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Charles,female,01-02-2001,BUSINESS,Level6,2022,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
HU006,CS-101,Exam,75.0,2023-10-02,2023/2024,Semester1,80.0,0.5100580818622619,Distinction,Diane,Unknown,Unknown,ICT,Level7,2021,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU026,cs103,Exam,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Bob,Unknown,2003-05-12,BUSINESS,Level6,2022,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
KI014,CS-101,Test,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Alice,female,01-02-2001,ENGINEERING,Level6,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Unknown Course,0.0
HU033,CS102 ,Exam,60.0,2023-10-02,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Diane,female,2000/01/01,BUSINESS,Level7,2022,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU021,CS102 ,Test,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Bob,female,Unknown,BUSINESS,Level7,2020,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
KI012,CS101,Test,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Charles,female,Unknown,ICT,Level6,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
KI012,CS101,Test,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Charles,female,Unknown,ICT,Level6,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
KI005,CS-101,Test,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Charles,Male,01-02-2001,ENGINEERING,Level6,2022,0781234567,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Unknown Course,0.0
MU031,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Bob,Unknown,2000/01/01,ENGINEERING,Level6,2022,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
MU031,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Bob,Unknown,2000/01/01,ENGINEERING,Level6,2022,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
HU040,CS-101,Exam,60.0,2023-10-02,2023/2024,Semester1,80.0,0.5100580818622619,Credit,Charles,female,Unknown,BUSINESS,Level7,2020,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU006,CS102 ,Exam,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Diane,Unknown,Unknown,ICT,Level7,2021,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU004,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Charles,Unknown,2003-05-12,BUSINESS,Level6,2021,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0
HU004,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Charles,Unknown,2003-05-12,BUSINESS,Level6,2021,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0
MU018,CS-101,Assignment,60.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Credit,Alice,Male,01-02-2001,ENGINEERING,Level7,2021,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Unknown Course,0.0
KI029,CS102 ,Exam,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Alice,female,01-02-2001,ICT,Level7,2022,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Unknown Course,0.0
HU026,CS102 ,Test,45.0,2023-10-02,2023/2024,Semester1,80.0,0.5100580818622619,Fail,Bob,Unknown,2003-05-12,BUSINESS,Level6,2022,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU044,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Diane,Unknown,Unknown,ENGINEERING,Level7,2022,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0
HU044,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Diane,Unknown,Unknown,ENGINEERING,Level7,2022,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0
KI020,CS102 ,Assignment,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Diane,female,2000/01/01,ICT,Level7,2020,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Unknown Course,0.0
MU018,CS102 ,Test,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Alice,Male,01-02-2001,ENGINEERING,Level7,2021,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Unknown Course,0.0
HU019,CS102 ,Exam,60.0,2023-10-02,2023/2024,Semester1,80.0,0.5100580818622619,Credit,Diane,female,2003-05-12,BUSINESS,Level6,2022,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU020,CS102 ,Test,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Charles,Male,2000/01/01,ICT,Level7,2022,Not Provided,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
MU013,CS-101,Exam,45.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Fail,Diane,Male,2003-05-12,ENGINEERING,Level6,2020,Not Provided,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Unknown Course,0.0
MU039,CS101,Test,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Charles,female,2003-05-12,ICT,Level6,2021,0781234567,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
MU039,CS101,Test,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Charles,female,2003-05-12,ICT,Level6,2021,0781234567,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
HU010,cs103,Assignment,60.0,2023-10-02,2023/2024,Semester1,80.0,0.5100580818622619,Credit,Bob,Male,Unknown,ENGINEERING,Level7,2022,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
MU038,CS101,Assignment,45.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Fail,Alice,female,2003-05-12,ENGINEERING,Level7,2022,0781234567,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
MU038,CS101,Assignment,45.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Fail,Alice,female,2003-05-12,ENGINEERING,Level7,2022,0781234567,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
MU030,CS101,Test,45.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Fail,Alice,Unknown,2003-05-12,BUSINESS,Level7,2020,07A345678,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
MU030,CS101,Test,45.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Fail,Alice,Unknown,2003-05-12,BUSINESS,Level7,2020,07A345678,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
HU013,CS102 ,Exam,60.0,2023-10-02,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Charles,female,2000/01/01,ICT,Level6,2022,Not Provided,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
MU030,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Alice,Unknown,2003-05-12,BUSINESS,Level7,2020,07A345678,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
MU030,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Alice,Unknown,2003-05-12,BUSINESS,Level7,2020,07A345678,MU,Musanze,musanze_students.csv,2026-02-12 09:44:47.474890,Python,3.0
HU049,CS102 ,Test,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Bob,female,2003-05-12,ICT,Level7,2021,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
KI012,cs103,Exam,45.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Fail,Charles,female,Unknown,ICT,Level6,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Unknown Course,0.0
KI028,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Bob,Male,Unknown,ENGINEERING,Level7,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
KI028,CS101,Assignment,60.0,2023-10-02,2023/2024,Semester1,60.0,-0.4796216664049384,Credit,Bob,Male,Unknown,ENGINEERING,Level7,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
HU035,cs103,Exam,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Bob,female,2000/01/01,ICT,Level6,2020,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
KI014,CS101,Assignment,75.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Distinction,Alice,female,01-02-2001,ENGINEERING,Level6,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
KI014,CS101,Assignment,75.0,2023-10-02,2023/2024,Semester1,100.0,1.4997378301294622,Distinction,Alice,female,01-02-2001,ENGINEERING,Level6,2020,Not Provided,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Python,3.0
HU030,CS-101,Exam,75.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Distinction,Diane,female,Unknown,ICT,Level7,2022,07A345678,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Unknown Course,0.0
HU035,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Bob,female,2000/01/01,ICT,Level6,2020,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0
HU035,CS101,Exam,60.0,2023-10-02,2023/2024,Semester1,40.0,-1.4693014146721388,Credit,Bob,female,2000/01/01,ICT,Level6,2020,0781234567,HU,Huye,huye_students.csv,2026-02-12 09:44:47.451886,Python,3.0
KI033,CS102 ,Assignment,60.0,2023-10-02,2023/2024,Semester1,70.90322580645162,0.0599134221665354,Credit,Charles,female,01-02-2001,BUSINESS,Level6,2022,07A345678,KI,Kigali,kigali_students.csv,2026-02-12 09:44:47.466967,Unknown Course,0.0
